year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,184,81,138,234
1988,174,140,26,73
1989,53,59,31,118
1990,84,157,71,187
1991,100,76,132,123
1992,64,156,76,77
1993,39,187,66,123
1994,131,78,159,209
1995,94,187,114,222
1996,189,77,238,201
1997,104,70,78,142
1998,37,150,207,93
1999,182,85,161,213
2000,57,147,94,369
2001,141,91,108,107
2002,136,144,236,272
2003,81,106,111,215
2004,51,84,68,233
2005,28,159,143,132
2006,98,24,142,106
2007,61,137,11,105
2008,126,225,114,322
2009,112,155,86,290
2010,232,184,88,244
2011,178,113,111,193
2012,32,115,70,189
2013,115,151,112,179
2014,293,144,151,266
2015,192,99,102,91
2016,122,69,46,212
