year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.5,15.7,22.5,11.4
1988,8.2,16.1,21.4,11.0
1989,9.1,17.4,22.6,11.9
1990,10.1,17.3,21.7,10.0
1991,8.0,15.5,23.7,10.4
1992,8.3,16.9,22.7,11.1
1993,8.1,17.6,22.2,10.9
1994,9.5,16.7,23.4,12.7
1995,8.8,16.5,22.4,12.4
1996,8.6,17.2,21.0,11.5
1997,10.2,17.2,22.8,12.5
1998,9.4,17.2,22.6,10.3
1999,8.7,17.5,23.2,11.1
2000,7.3,16.7,21.1,11.0
2001,9.6,17.0,21.9,10.4
2002,9.1,17.3,21.3,12.2
2003,7.0,18.8,23.8,11.2
2004,7.3,16.8,22.4,11.2
2005,6.5,17.7,22.1,10.1
2006,7.2,18.0,23.4,12.5
2007,9.0,18.5,21.6,10.2
2008,9.0,17.4,21.9,10.4
2009,7.4,18.3,23.4,11.5
2010,6.5,16.6,22.3,10.1
2011,8.0,18.1,22.1,12.7
2012,7.2,17.6,22.8,11.8
2013,6.8,15.8,22.5,12.0
2014,9.6,17.9,22.1,13.3
2015,8.1,18.2,23.1,12.5
2016,8.9,17.4,23.4,11.5
