year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,2181,14,-756,0
1988,2093,14,-559,0
1989,2058,14,-767,0
1990,2056,14,-637,0
1991,2071,14,-690,2
1992,2122,14,-665,0
1993,2156,17,-695,0
1994,2058,14,-794,0
1995,2143,13,-714,0
1996,2209,14,-734,0
1997,2090,13,-659,0
1998,2147,14,-625,0
1999,2224,16,-701,0
2000,2046,14,-804,0
2001,2327,15,-768,0
2002,2146,15,-570,0
2003,2101,15,-601,0
2004,2208,14,-703,0
2005,2255,15,-738,0
2006,2055,13,-569,0
2007,2237,14,-801,0
2008,1936,14,-558,0
2009,2015,13,-666,0
2010,2284,13,-838,0
2011,2182,15,-728,0
2012,2244,13,-685,0
2013,2046,15,-751,0
2014,2294,14,-715,0
2015,2078,13,-629,0
2016,1932,13,-659,0
2016
2017,2361,15,-678,0
2018,2453,15,-765,0
2019,2293,15,-758,0
2020,2432,15,-558,0
2021,2427,17,-878,0
2022,2425,16,-765,0
2023,2264,14,-795,0
2024,2478,15,-519,0
2025,2267,15,-656,0
2026,2468,16,-661,0
2027,2479,14,-985,0
2028,2441,16,-796,0
2029,2432,15,-816,0
2030,2372,15,-726,0
2031,2285,15,-616,0
2032,2307,15,-747,0
2033,2394,17,-673,1
2034,2301,16,-693,0
2035,2440,16,-590,0
2036,2552,16,-733,0
2037,2255,15,-605,0
2038,2196,15,-759,0
2039,2156,12,-713,0
2040,2460,16,-714,0
2041,2318,14,-605,0
2042,2310,16,-593,0
2043,2147,14,-772,0
2044,2460,15,-734,0
2045,2398,14,-693,2
2046,2507,17,-859,0

min,1400,10,,0
max,2900,20,,8
steps,11,11,,9
decimal



