year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,7,4,-330,10,10,-503,15,49,26
1988,10,4,-298,6,4,-470,23,26,12
1989,4,1,-288,10,1,-453,28,15,18
1990,4,0,-259,9,0,-456,32,26,24
1991,4,2,-347,9,3,-515,32,46,29
1992,2,0,-221,8,2,-397,27,41,33
1993,5,3,-292,8,3,-502,30,43,8
1994,6,0,-279,8,1,-521,21,26,18
1995,8,0,-299,10,3,-448,5,43,3
1996,14,9,-334,9,6,-533,22,44,21
1997,7,4,-362,8,5,-543,29,25,22
1998,9,0,-286,8,5,-464,31,40,13
1999,6,9,-301,9,11,-499,37,33,54
2000,2,8,-277,10,0,-482,29,51,24
2001,3,0,-204,8,0,-354,29,46,37
2002,1,0,-231,9,5,-418,22,28,5
2003,7,2,-241,8,1,-445,24,49,23
2004,4,1,-249,9,3,-462,20,22,16
2005,15,0,-276,8,5,-443,28,35,24
2006,12,4,-271,7,1,-438,24,45,67
2007,1,5,-173,8,6,-440,33,32,28
2008,12,0,-271,9,2,-447,27,45,18
2009,8,4,-249,7,0,-400,41,38,0
2010,3,1,-251,7,0,-429,23,42,16
2011,6,4,-268,10,2,-481,20,49,29
2012,11,0,-278,7,3,-443,34,32,25
2013,10,1,-269,9,0,-435,28,50,3
2014,1,0,-275,6,4,-501,36,28,8
2015,3,0,-204,9,6,-439,44,28,43
2016,10,2,-279,9,6,-464,37,35,39
2016
2017,7,0,-253,9,8,-477,26,12,21
2018,10,0,-329,8,2,-471,25,20,21
2019,10,5,-280,10,10,-500,29,45,20
2020,3,1,-230,7,8,-463,27,23,19
2021,7,4,-159,8,4,-444,34,20,9
2022,0,0,-198,7,1,-387,45,12,19
2023,1,4,-270,9,4,-460,43,27,14
2024,9,1,-282,7,15,-524,34,33,8
2025,2,1,-213,6,0,-331,39,21,10
2026,4,4,-337,9,0,-545,32,2,19
2027,4,1,-297,7,2,-454,23,11,51
2028,11,0,-182,8,5,-376,27,24,1
2029,11,1,-350,10,11,-598,37,26,17
2030,5,1,-297,7,6,-470,24,33,0
2031,8,17,-263,7,7,-415,15,24,16
2032,6,0,-247,9,0,-421,19,22,18
2033,15,0,-235,10,4,-434,30,25,24
2034,16,1,-350,11,5,-535,34,30,13
2035,13,2,-244,9,2,-454,25,33,11
2036,17,0,-217,7,8,-373,24,19,33
2037,7,4,-290,7,1,-423,15,18,30
2038,4,0,-325,9,4,-473,20,10,28
2039,2,0,-82,6,0,-269,41,36,21
2040,18,2,-300,8,14,-502,10,38,3
2041,1,1,-281,8,4,-441,21,16,22
2042,5,0,-194,8,2,-363,38,41,22
2043,2,3,-278,9,2,-421,21,31,33
2044,6,0,-241,9,4,-412,26,25,42
2045,1,2,-204,7,5,-388,31,31,31
2046,9,14,-294,11,8,-500,30,16,24
