year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,173,98,47,255
1988,95,94,41,134
1989,46,110,90,144
1990,14,72,49,108
1991,33,51,34,110
1992,20,72,23,50
1993,55,31,75,238
1994,102,149,68,146
1995,131,119,143,201
1996,150,217,196,114
1997,61,150,73,186
1998,93,104,101,193
1999,107,186,129,196
2000,67,102,14,47
2001,82,173,120,87
2002,78,103,197,243
2003,79,190,99,196
2004,76,170,141,187
2005,156,124,164,122
2006,171,125,84,125
2007,67,83,134,216
2008,71,156,111,97
2009,195,111,83,195
2010,130,172,98,253
2011,58,122,80,105
2012,151,176,124,145
2013,248,180,93,83
2014,141,210,170,206
2015,201,96,109,135
2016,197,165,29,116
