year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,62,-308,-408,159
1988,-29,-303,-438,28
1989,-86,-283,-321,45
1990,-133,-322,-403,11
1991,-77,-345,-391,-5
1992,-128,-321,-426,-65
1993,-67,-393,-415,134
1994,-27,-259,-388,36
1995,5,-300,-262,93
1996,49,-199,-232,15
1997,-81,-255,-378,86
1998,-56,-292,-381,89
1999,-16,-199,-314,76
2000,-58,-337,-501,-56
2001,-50,-243,-343,-40
2002,-59,-295,-217,147
2003,-55,-213,-345,98
2004,-70,-196,-333,76
2005,18,-314,-288,5
2006,47,-264,-383,11
2007,-86,-352,-363,99
2008,-79,-232,-371,-21
2009,66,-293,-356,80
2010,-10,-212,-388,138
2011,-58,-264,-381,2
2012,16,-215,-355,30
2013,127,-228,-356,-31
2014,10,-146,-245,103
2015,84,-295,-339,33
2016,64,-224,-414,-3
