year,annual-frozen-days
1987,50
1988,57
1989,62
1990,37
1991,54
1992,70
1993,63
1994,27
1995,40
1996,39
1997,40
1998,51
1999,46
2000,62
2001,41
2002,30
2003,61
2004,46
2005,45
2006,57
2007,33
2008,37
2009,39
2010,37
2011,65
2012,58
2013,45
2014,21
2015,54
2016,53
