year,annual-hydric-deficit
1987,-48
1988,-290
1989,-341
1990,-368
1991,-454
1992,-280
1993,-136
1994,-136
1995,-42
1996,-147
1997,-233
1998,21
1999,-2
2000,-146
2001,11
2002,-47
2003,-460
2004,-19
2005,-220
2006,-356
2007,-124
2008,-159
2009,-143
2010,52
2011,-205
2012,-160
2013,-43
2014,-191
2015,-179
2016,-160
