year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,20,19,-162,4,12,-317,53,31,97
1988,10,18,-120,3,23,-242,50,21,123
1989,21,17,-122,3,6,-219,41,25,107
1990,14,16,-143,5,10,-246,53,33,134
1991,9,18,-132,4,20,-313,62,34,157
1992,16,26,-4,1,18,-78,58,31,136
1993,9,31,-200,4,9,-344,53,31,111
1994,13,15,-147,3,15,-289,70,29,108
1995,6,15,-96,2,7,-218,67,30,144
1996,29,19,-152,1,11,-340,41,28,130
1997,21,25,-155,4,11,-326,47,18,83
1998,37,21,-155,2,16,-285,34,42,106
1999,2,15,-198,5,6,-422,63,30,48
2000,20,26,-197,3,3,-348,53,26,105
2001,20,19,-138,7,8,-275,52,25,136
2002,6,33,-101,3,15,-254,60,35,82
2003,4,18,-184,5,6,-282,48,18,150
2004,14,27,-35,3,14,-115,67,33,133
2005,5,28,-178,5,3,-305,57,34,121
2006,26,39,-79,2,12,-243,47,47,62
2007,22,27,-78,3,2,-146,52,18,148
2008,2,16,-89,3,7,-197,57,35,101
2009,25,20,-102,3,18,-306,47,27,56
2010,15,22,-84,3,16,-189,54,41,116
2011,9,31,-113,1,15,-226,59,32,85
2012,11,19,-90,7,11,-271,74,24,74
2013,11,30,-88,5,4,-249,54,36,103
2014,8,15,-60,3,15,-161,62,38,119
2015,21,34,-177,6,18,-321,49,10,165
2016,6,16,-77,2,13,-170,63,49,128
2016
2017,25,14,-174,4,5,-302,37,21,107
2018,11,17,-86,1,17,-244,49,23,50
2019,31,24,-137,2,26,-244,33,19,128
2020,10,13,-108,5,6,-212,57,32,82
2021,20,24,-109,4,7,-333,61,15,58
2022,24,24,-100,4,7,-207,40,20,78
2023,18,14,-99,4,18,-271,45,22,112
2024,20,9,-127,1,16,-241,42,21,132
2025,22,17,-104,3,12,-178,60,15,142
2026,17,13,-204,1,12,-423,45,20,41
2027,34,9,-167,4,16,-255,42,21,157
2028,8,37,-138,2,5,-223,54,27,151
2029,12,25,-92,3,5,-261,56,27,68
2030,17,8,-162,5,5,-343,58,19,101
2031,14,14,-56,1,12,-103,56,30,139
2032,16,4,-121,4,4,-290,53,16,70
2033,17,20,-85,3,9,-227,50,13,52
2034,17,18,-133,5,5,-282,50,19,95
2035,21,10,-29,2,9,-177,57,43,77
2036,15,26,-35,3,21,-163,69,28,92
2037,23,7,-118,5,23,-223,52,25,130
2038,23,17,-147,4,15,-239,45,15,103
2039,38,18,-151,5,19,-380,36,32,25
2040,29,4,-49,3,18,-103,45,37,186
2041,27,6,-144,2,12,-226,38,23,126
2042,26,11,-161,3,6,-217,39,13,135
2043,19,18,-115,2,22,-132,38,20,186
2044,35,12,-167,4,18,-269,42,6,180
2045,11,18,-157,2,11,-176,49,16,150
2046,9,27,-112,5,8,-197,60,16,148
