year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,524,622,-285,-326,38,10.2,3903,40,17.2,77
1988,570,634,-249,-334,39,9.7,3668,39,16.9,68
1989,601,636,-208,-280,45,9.7,3715,40,17.7,85
1990,573,612,-221,-262,54,10.2,3837,49,18.2,65
1991,599,740,-375,-396,29,9.5,3608,42,18.8,84
1992,663,600,-114,-140,23,9.1,3575,32,17.5,83
1993,491,678,-423,-444,47,8.4,3264,22,16.0,107
1994,592,681,-332,-367,73,9.6,3644,31,18.5,75
1995,626,592,-134,-264,112,9.2,3467,25,16.3,64
1996,613,732,-364,-361,-4,9.8,3719,38,16.6,77
1997,536,727,-447,-453,35,10.5,3924,50,18.6,89
1998,599,692,-257,-342,67,10.3,3911,71,18.8,89
1999,445,724,-554,-561,10,9.5,3524,20,16.2,80
2000,559,712,-396,-389,24,9.7,3661,32,17.2,93
2001,485,577,-252,-282,27,9.2,3546,32,16.9,83
2002,443,602,-345,-320,-27,9.0,3535,35,18.0,99
2003,539,605,-255,-312,40,9.8,3669,34,16.1,58
2004,630,622,-188,-188,-14,9.6,3631,43,18.6,97
2005,578,570,-167,-285,98,8.6,3306,20,15.2,94
2006,612,605,-158,-251,74,8.4,3379,29,15.9,112
2007,637,624,-163,-219,33,9.6,3603,37,17.5,83
2008,596,597,-183,-258,57,9.6,3616,30,17.2,81
2009,463,659,-379,-398,48,10.5,3961,49,18.6,65
2010,556,609,-223,-248,40,9.1,3500,37,17.9,100
2011,536,605,-239,-329,91,9.1,3411,42,17.9,94
2012,539,589,-235,-326,63,9.1,3469,28,16.9,72
2013,489,609,-296,-342,13,9.0,3550,23,16.6,93
2014,598,605,-191,-246,38,10.0,3857,29,17.6,71
2015,573,642,-249,-316,29,9.5,3632,42,17.4,72
2016,556,597,-215,-255,25,9.2,3514,32,17.8,88
2016
2017,571,632,-254,-337,41,10.6,3945,49,15.7,66
2018,554,657,-311,-342,10,11.3,4208,65,19.8,68
2019,558,696,-327,-352,32,11.4,4295,71,19.7,79
2020,610,621,-203,-290,81,10.2,3820,28,17.4,73
2021,509,679,-428,-394,-5,10.0,3762,33,17.2,58
2022,565,616,-248,-291,25,10.3,3856,36,17.6,72
2023,585,790,-498,-403,-37,11.2,4159,51,18.2,65
2024,703,748,-290,-297,34,11.2,4128,51,18.3,59
2025,592,587,-193,-230,34,10.7,3948,41,18.0,65
2026,451,778,-583,-547,-16,10.8,4014,50,18.5,70
2027,656,752,-335,-357,55,10.9,4048,57,19.0,67
2028,635,583,-126,-231,97,9.3,3548,24,17.4,95
2029,539,723,-501,-372,-53,10.3,3928,29,17.5,66
2030,431,696,-545,-413,-94,10.5,3882,42,17.2,50
2031,645,598,-133,-172,62,10.0,3746,47,18.6,79
2032,445,628,-391,-375,-29,11.0,4055,36,18.2,61
2033,573,591,-208,-272,38,10.4,3874,44,17.6,57
2034,471,612,-361,-337,-10,10.5,3920,35,17.4,74
2035,646,615,-156,-189,25,9.8,3665,41,17.3,90
2036,632,601,-142,-245,100,9.4,3584,46,18.8,89
2037,558,657,-288,-244,-2,10.5,3899,50,18.7,67
2038,575,634,-255,-295,19,11.5,4248,55,19.0,54
2039,543,705,-348,-442,52,10.7,3970,69,17.8,80
2040,704,662,-153,-185,61,11.0,4082,56,19.2,64
2041,662,691,-223,-285,15,11.7,4338,73,18.7,52
2042,576,650,-268,-299,40,11.3,4178,47,17.3,47
2043,672,656,-170,-208,-5,10.9,4071,50,18.8,63
2044,572,671,-284,-312,44,11.3,4165,57,18.5,51
2045,616,635,-215,-242,32,10.3,3838,47,17.9,73
2046,609,634,-195,-267,64,10.1,3826,45,18.5,76
