year,annual-frozen-days
1987,87
1988,71
1989,56
1990,43
1991,87
1992,57
1993,78
1994,47
1995,83
1996,120
1997,78
1998,61
1999,67
2000,43
2001,83
2002,64
2003,93
2004,96
2005,82
2006,81
2007,48
2008,52
2009,76
2010,100
2011,82
2012,69
2013,91
2014,56
2015,53
2016,62
