year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,131,148,188,77
1988,116,55,135,112
1989,70,108,84,125
1990,68,99,119,111
1991,35,87,70,82
1992,173,55,153,142
1993,88,153,229,169
1994,170,152,243,123
1995,119,256,202,97
1996,33,133,198,109
1997,106,105,160,130
1998,111,155,344,158
1999,112,206,226,110
2000,233,82,168,107
2001,152,169,261,144
2002,100,152,211,220
2003,93,73,129,99
2004,126,224,206,153
2005,121,112,194,94
2006,105,84,139,120
2007,145,173,250,129
2008,147,189,163,124
2009,112,127,133,203
2010,109,95,356,177
2011,80,110,306,107
2012,114,140,215,160
2013,132,314,102,122
2014,63,155,250,95
2015,106,136,210,183
2016,150,189,94,173
