year,annual-frozen-days
1987,30
1988,13
1989,13
1990,4
1991,20
1992,10
1993,8
1994,5
1995,11
1996,20
1997,13
1998,5
1999,9
2000,10
2001,12
2002,2
2003,10
2004,12
2005,16
2006,10
2007,3
2008,9
2009,15
2010,48
2011,12
2012,12
2013,12
2014,3
2015,9
2016,7
