year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,38,-137,-238,-22
1988,149,139,-233,-50
1989,55,-195,-297,-50
1990,-9,-147,-316,102
1991,38,-104,-247,41
1992,-18,70,-247,175
1993,-105,27,-70,115
1994,66,-59,-220,70
1995,74,-213,-254,32
1996,119,-145,-176,110
1997,-8,-137,-88,88
1998,-34,-135,-216,53
1999,3,-163,-89,48
2000,-26,-120,-261,121
2001,50,-159,-183,-49
2002,-37,-83,-149,123
2003,60,-225,-323,90
2004,109,-159,-287,96
2005,-32,-236,-169,45
2006,33,-223,-170,-16
2007,47,-75,-277,-24
2008,53,-92,-217,116
2009,34,-140,-297,72
2010,19,-90,-271,112
2011,0,-272,-240,13
2012,-52,-92,-304,75
2013,80,-86,-263,53
2014,77,-173,-36,-6
2015,43,-185,-215,-51
2016,98,-111,-320,3
