year,A1,A2,A3
,label A1,label A2,label A3
1987,40,2100,256
1988,34,2123,256
1989,30,1965,236
1990,39,1940,272
1991,46,2227,316
1992,41,2000,250
1993,16,2049,155
1994,51,2095,362
1995,39,1972,251
1996,47,2068,356
1997,35,2105,256
1998,38,2210,238
1999,57,2083,381
2000,44,2065,297
2001,50,2272,293
2002,51,1891,311
2003,62,2098,390
2004,46,2078,273
2005,29,2000,249
2006,34,2109,245
2007,29,2156,195
2008,35,2239,259
2009,42,2035,272
2010,61,2033,343
2011,60,2061,381
2012,29,1861,217
2013,41,2055,304
2014,49,1887,302
2015,26,2018,212
2016,58,2138,361
2016
2017,94,1805,602
2018,66,1762,404
2019,86,1719,519
2020,93,1736,554
2021,62,1641,469
2022,88,1745,541
2023,60,1907,440
2024,49,1730,345
2025,82,1495,470
2026,46,1804,381
2027,67,1868,522
2028,75,1720,468
2029,57,1616,474
2030,60,1724,419
2031,83,1864,460
2032,75,1664,449
2033,76,1960,497
2034,70,2215,449
2035,61,2085,435
2036,61,1817,355
2037,70,1730,461
2038,89,1632,624
2039,76,1707,475
2040,55,1824,342
2041,68,1925,412
2042,73,1641,439
2043,80,1783,523
2044,61,1878,395
2045,70,1534,478
2046,103,1629,663

min,,1200
max,,2550
steps,,10
decimal



