year,F1,F3,M4
,label F1,label F3,label M4
1987,48,129,2
1988,48,131,2
1989,26,130,2
1990,46,130,1
1991,47,130,2
1992,58,120,2
1993,47,143,1
1994,65,132,2
1995,67,133,1
1996,55,125,0
1997,65,146,3
1998,53,132,2
1999,71,140,1
2000,56,128,2
2001,53,127,2
2002,57,134,2
2003,33,123,1
2004,66,127,1
2005,51,116,1
2006,35,127,1
2007,58,129,3
2008,56,134,1
2009,43,116,3
2010,48,125,1
2011,56,135,2
2012,36,118,2
2013,48,124,1
2014,37,123,2
2015,59,131,3
2016,52,128,2
2016
2017,39,127,2
2018,36,127,2
2019,51,112,0
2020,45,128,3
2021,40,124,1
2022,37,117,3
2023,25,126,2
2024,56,126,1
2025,36,126,2
2026,42,124,1
2027,45,125,3
2028,43,124,2
2029,25,119,2
2030,47,138,1
2031,52,115,2
2032,34,126,2
2033,47,122,2
2034,27,127,4
2035,49,123,2
2036,50,127,2
2037,36,127,3
2038,55,131,1
2039,29,130,5
2040,53,117,0
2041,42,118,2
2042,29,124,4
2043,32,113,3
2044,53,127,3
2045,58,129,0
2046,51,125,3
