year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,114,201,187,186
1988,250,173,147,186
1989,107,148,116,120
1990,141,156,129,176
1991,107,107,125,137
1992,104,165,135,206
1993,73,104,175,211
1994,155,152,215,130
1995,255,156,159,126
1996,94,70,152,215
1997,125,236,157,217
1998,94,209,126,204
1999,151,169,200,216
2000,140,156,290,221
2001,219,168,341,197
2002,187,146,114,230
2003,109,148,94,154
2004,140,127,132,131
2005,84,194,142,103
2006,158,125,256,185
2007,175,216,201,144
2008,197,239,135,141
2009,114,207,135,163
2010,91,36,170,196
2011,72,92,163,164
2012,59,211,125,163
2013,88,197,143,234
2014,146,109,226,210
2015,85,107,152,111
2016,155,238,61,103
