year,annual-frozen-days
1987,68
1988,34
1989,55
1990,44
1991,65
1992,61
1993,75
1994,42
1995,60
1996,81
1997,67
1998,58
1999,43
2000,27
2001,50
2002,42
2003,71
2004,57
2005,68
2006,70
2007,41
2008,63
2009,59
2010,75
2011,41
2012,40
2013,50
2014,11
2015,34
2016,39
