year,A1,A2,A3
,label A1,label A2,label A3
1987,14,2626,103
1988,10,2647,115
1989,3,2511,56
1990,8,2412,48
1991,17,2725,140
1992,13,2669,92
1993,20,2601,154
1994,15,2713,148
1995,25,2732,145
1996,2,2719,30
1997,14,2923,137
1998,7,2924,60
1999,9,2945,123
2000,7,2593,102
2001,24,2578,157
2002,15,2841,121
2003,14,2638,110
2004,29,2556,214
2005,11,2438,96
2006,20,2537,154
2007,9,2575,71
2008,15,2900,114
2009,5,2235,63
2010,24,2623,172
2011,10,2802,88
2012,12,2521,92
2013,6,2633,77
2014,25,2479,152
2015,20,2551,156
2016,27,2824,184
2016
2017,29,2599,206
2018,24,2282,198
2019,24,2333,194
2020,26,2415,184
2021,27,2296,200
2022,29,2175,182
2023,29,2229,238
2024,12,2568,150
2025,35,2287,214
2026,20,2367,197
2027,25,2343,187
2028,26,2370,181
2029,3,2286,127
2030,20,2550,182
2031,36,2126,196
2032,43,2260,274
2033,23,2408,162
2034,21,2403,150
2035,32,2321,230
2036,40,2565,262
2037,22,2386,176
2038,48,2422,298
2039,10,2346,109
2040,27,2206,168
2041,25,2357,166
2042,53,2260,349
2043,29,2145,230
2044,10,2387,86
2045,14,2771,101
2046,17,2260,155
