year,annual-precipitations
1987,820
1988,699
1989,598
1990,397
1991,260
1992,562
1993,538
1994,645
1995,575
1996,556
1997,553
1998,557
1999,539
2000,494
2001,613
2002,775
2003,425
2004,512
2005,484
2006,534
2007,728
2008,483
2009,737
2010,653
2011,554
2012,600
2013,696
2014,708
2015,480
2016,519

min,300
max,2000
steps,10
decimal
