year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,218,232,237,222
1988,352,158,297,199
1989,178,166,119,177
1990,209,177,131,243
1991,146,197,182,269
1992,64,151,219,153
1993,84,114,198,254
1994,187,167,228,160
1995,272,134,157,136
1996,104,86,234,143
1997,148,173,167,216
1998,174,209,271,288
1999,284,165,189,238
2000,177,231,234,274
2001,261,183,358,243
2002,248,196,239,282
2003,140,164,118,165
2004,189,128,261,129
2005,121,118,159,112
2006,143,140,233,178
2007,189,111,204,177
2008,208,196,194,130
2009,150,130,131,233
2010,122,81,256,197
2011,98,109,178,147
2012,107,200,143,233
2013,70,141,128,246
2014,106,149,395,162
2015,159,99,245,173
2016,235,214,61,59
