year,annual-precipitations
1987,908
1988,1005
1989,639
1990,760
1991,794
1992,587
1993,650
1994,742
1995,698
1996,566
1997,703
1998,941
1999,876
2000,916
2001,1045
2002,965
2003,587
2004,705
2005,510
2006,693
2007,680
2008,728
2009,644
2010,656
2011,532
2012,683
2013,586
2014,812
2015,675
2016,568
