year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1627,11,-383,1
1988,1493,12,-224,3
1989,1464,13,-248,4
1990,1233,11,-250,9
1991,1318,10,-323,3
1992,1468,10,-281,4
1993,1249,9,-412,9
1994,1546,12,-437,3
1995,1331,10,-272,1
1996,1307,10,-407,5
1997,1328,10,-365,2
1998,1425,11,-334,4
1999,1474,10,-412,4
2000,1372,9,-430,11
2001,1471,10,-339,3
2002,1241,8,-313,8
2003,1355,9,-235,1
2004,1445,9,-261,5
2005,1406,9,-362,0
2006,1437,11,-345,7
2007,1421,10,-244,0
2008,1423,10,-234,3
2009,1296,12,-281,4
2010,1473,12,-268,3
2011,1409,11,-192,5
2012,1258,11,-220,7
2013,1357,11,-291,10
2014,1374,10,-195,3
2015,1216,9,-185,5
2016,1123,10,-271,8
2016
2017,1594,10,-295,0
2018,1526,10,-231,4
2019,1750,13,-434,3
2020,1607,12,-353,1
2021,1563,13,-472,3
2022,1421,11,-313,5
2023,1715,11,-578,1
2024,1527,12,-481,1
2025,1591,12,-357,0
2026,2056,12,-449,0
2027,1494,10,-336,0
2028,1527,11,-315,0
2029,1717,14,-606,3
2030,1522,11,-426,2
2031,1381,11,-230,9
2032,1638,12,-493,5
2033,1751,11,-422,1
2034,1895,12,-377,1
2035,1646,11,-370,6
2036,1676,11,-309,2
2037,1620,12,-261,1
2038,1631,10,-332,4
2039,1626,14,-362,3
2040,1511,12,-408,7
2041,1522,8,-349,0
2042,1479,12,-387,4
2043,1612,12,-318,4
2044,1822,9,-316,0
2045,1670,11,-419,0
2046,1429,9,-319,4

min,1000,6
max,2500,16
steps,7,11
decimal



