year,annual-hydric-deficit
1987,6
1988,62
1989,-347
1990,-195
1991,-239
1992,-131
1993,-173
1994,-102
1995,-75
1996,-235
1997,-51
1998,-126
1999,-48
2000,58
2001,172
2002,-103
2003,-393
2004,-245
2005,-241
2006,-62
2007,-2
2008,-39
2009,-168
2010,-273
2011,-326
2012,-1
2013,-9
2014,62
2015,-266
2016,52
