year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,32,-56,-85,115
1988,164,-96,-126,119
1989,9,-160,-218,22
1990,33,-130,-203,105
1991,24,-147,-188,73
1992,24,-129,-168,142
1993,-16,-181,-118,143
1994,70,-131,-91,50
1995,158,-109,-172,48
1996,8,-227,-159,144
1997,34,-58,-159,132
1998,-11,-79,-171,135
1999,62,-114,-134,139
2000,51,-137,10,134
2001,126,-122,49,119
2002,80,-153,-175,145
2003,-6,-185,-276,75
2004,42,-168,-181,62
2005,-1,-105,-156,21
2006,79,-163,-77,99
2007,76,-83,-70,75
2008,99,-44,-162,68
2009,27,-82,-196,83
2010,-4,-258,-132,121
2011,-25,-249,-135,83
2012,-26,30,-158,153
2013,23,-10,-170,147
2014,58,-144,-38,186
2015,46,-192,-185,65
2016,123,76,-193,47
