year,A1,A2,A3
,label A1,label A2,label A3
1987,23,2457,143
1988,23,2625,166
1989,13,2794,104
1990,7,2753,73
1991,14,2681,106
1992,7,2657,67
1993,8,3049,80
1994,17,2730,154
1995,9,2770,70
1996,10,2703,73
1997,2,2719,65
1998,12,2616,91
1999,11,2570,109
2000,11,2624,132
2001,8,2644,64
2002,2,2646,43
2003,10,2796,80
2004,18,2829,120
2005,13,2755,98
2006,9,2660,96
2007,16,2786,107
2008,9,2745,72
2009,6,2464,70
2010,20,2841,125
2011,3,2620,55
2012,4,2706,53
2013,16,2918,109
2014,8,2763,75
2015,3,2899,53
2016,7,3227,76
2016
2017,22,2161,166
2018,21,2636,157
2019,37,2493,232
2020,22,2459,164
2021,10,2315,108
2022,25,2587,158
2023,14,2180,147
2024,16,2556,141
2025,18,2415,125
2026,34,2151,282
2027,7,2270,70
2028,9,2100,80
2029,23,2334,205
2030,9,2443,113
2031,15,2533,110
2032,22,2460,146
2033,31,2432,200
2034,30,2318,224
2035,17,2467,142
2036,22,2441,154
2037,35,2108,221
2038,21,2523,167
2039,32,2550,230
2040,23,2586,159
2041,9,2297,74
2042,28,2373,170
2043,14,2495,132
2044,42,2418,255
2045,16,2136,109
2046,12,2498,130

min,,1800
max,,3400
steps,,9
decimal

min
max
