year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-130,-463,-469,64
1988,-132,-279,-520,-61
1989,33,-358,-381,-110
1990,-45,-355,-517,-72
1991,80,-365,-483,-86
1992,-47,-323,-492,-140
1993,-21,-392,-485,-73
1994,-210,-453,-487,-109
1995,-195,-436,-522,-158
1996,-87,-426,-429,-91
1997,-134,-258,-420,-154
1998,-171,-408,-502,-97
1999,-147,-489,-469,-105
2000,-172,-462,-507,-59
2001,-196,-446,-422,31
2002,-162,-354,-419,-182
2003,-129,-396,-527,-51
2004,-83,-278,-497,-88
2005,-145,-480,-426,-128
2006,-132,-361,-501,-132
2007,-118,-348,-428,-46
2008,-138,-278,-404,-43
2009,-105,-385,-377,-88
2010,-57,-355,-441,-43
2011,-144,-418,-491,-96
2012,-126,-438,-377,-13
2013,-85,-375,-356,-94
2014,-163,-395,-434,-94
2015,-133,-443,-398,-113
2016,-144,-374,-481,38
