year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,8.5,16.2,22.6,11.4
1988,8.2,15.2,22.3,10.3
1989,8.3,15.1,22.2,12.4
1990,8.6,15.9,23.8,9.5
1991,6.9,14.8,23.2,9.8
1992,7.3,15.3,21.7,11.6
1993,6.9,15.8,21.6,9.6
1994,8.6,16.1,22.3,12.0
1995,9.3,16.1,21.9,12.7
1996,8.8,16.0,21.2,11.5
1997,9.5,16.5,21.0,13.1
1998,9.5,16.3,22.4,11.0
1999,8.4,17.1,22.5,11.0
2000,8.8,16.8,21.9,11.6
2001,10.4,17.3,22.7,10.5
2002,9.3,15.7,21.1,13.0
2003,8.4,17.1,23.1,11.8
2004,9.0,15.7,22.8,11.8
2005,7.2,17.2,21.6,10.7
2006,8.2,17.1,22.6,12.6
2007,10.3,18.2,24.0,11.8
2008,9.6,16.8,23.2,10.3
2009,8.2,17.5,23.3,12.4
2010,7.6,14.9,21.5,10.2
2011,8.2,17.9,23.7,12.2
2012,8.2,17.6,22.7,12.7
2013,8.4,15.9,23.0,12.0
2014,9.2,17.0,22.3,11.8
2015,8.7,17.4,23.3,12.5
2016,9.0,16.8,23.4,12.0
