year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1509,11,-399,0
1988,1425,11,-357,3
1989,1486,11,-315,1
1990,1536,11,-402,1
1991,1475,11,-504,2
1992,1357,10,-402,4
1993,1381,10,-439,2
1994,1264,8,-356,2
1995,1377,11,-270,3
1996,1353,12,-411,8
1997,1314,9,-443,1
1998,1423,10,-209,2
1999,1331,10,-396,5
2000,1521,12,-445,1
2001,1548,10,-362,6
2002,1401,11,-317,2
2003,1302,12,-259,1
2004,1397,12,-371,3
2005,1389,10,-419,4
2006,1454,12,-319,0
2007,1221,10,-346,13
2008,1541,12,-494,4
2009,1367,9,-425,2
2010,1356,10,-343,0
2011,1585,12,-361,0
2012,1372,11,-396,1
2013,1221,11,-327,6
2014,1371,11,-323,2
2015,1224,10,-367,3
2016,1393,11,-178,3
2016
2017,1760,12,-423,0
2018,1548,12,-401,1
2019,1575,11,-381,2
2020,1771,12,-400,0
2021,1739,13,-517,0
2022,1802,13,-432,0
2023,1688,13,-652,0
2024,1684,11,-442,0
2025,1475,11,-401,2
2026,1569,12,-421,1
2027,1798,12,-487,0
2028,1736,12,-455,0
2029,1562,14,-435,0
2030,1684,13,-506,0
2031,1722,13,-350,0
2032,1580,12,-376,0
2033,1619,12,-445,0
2034,1489,11,-379,2
2035,1525,12,-448,3
2036,1773,13,-372,2
2037,1865,13,-471,1
2038,1755,11,-398,0
2039,1659,13,-395,0
2040,1549,11,-445,2
2041,1529,10,-318,5
2042,1502,13,-356,0
2043,1499,12,-382,3
2044,1564,13,-447,0
2045,1604,11,-543,5
2046,1620,11,-374,0

min,1000,6
max,2500,16
steps,7,11
decimal
