year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,96,186,164,181
1988,212,175,150,114
1989,136,140,88,146
1990,103,109,65,125
1991,129,104,120,93
1992,77,189,130,197
1993,83,183,128,161
1994,145,131,256,136
1995,205,113,159,84
1996,64,49,132,165
1997,113,194,136,163
1998,100,189,176,181
1999,123,196,237,217
2000,110,171,182,270
2001,221,106,303,163
2002,150,125,128,220
2003,90,126,105,160
2004,160,113,132,210
2005,127,190,108,123
2006,177,109,136,189
2007,139,140,147,125
2008,201,122,116,166
2009,96,150,61,202
2010,147,112,115,198
2011,102,100,186,164
2012,56,241,115,235
2013,151,171,125,187
2014,149,179,184,175
2015,108,119,185,144
2016,195,267,94,98
