year,A1,A2,A3
,label A1,label A2,label A3
1987,12,2230,110
1988,11,2737,96
1989,14,2723,118
1990,23,2501,146
1991,4,2446,70
1992,21,2608,126
1993,5,2637,81
1994,12,2519,87
1995,14,2740,100
1996,8,2624,75
1997,4,2413,45
1998,22,2703,154
1999,13,2517,117
2000,20,2594,197
2001,28,2873,182
2002,6,2610,69
2003,14,2714,99
2004,11,2626,102
2005,15,2569,104
2006,14,2621,110
2007,9,2750,70
2008,19,2669,122
2009,13,2574,109
2010,5,2693,61
2011,22,2074,144
2012,5,2649,59
2013,7,2725,78
2014,5,2615,71
2015,6,2576,67
2016,5,2705,73
2016
2017,26,2264,201
2018,14,2436,142
2019,26,2495,174
2020,16,2219,147
2021,22,2153,199
2022,39,2287,249
2023,17,2338,156
2024,12,2169,129
2025,9,2284,83
2026,8,2198,116
2027,27,2343,225
2028,30,2376,218
2029,19,2123,187
2030,21,2506,190
2031,40,2415,228
2032,13,2385,128
2033,22,2343,146
2034,24,2447,146
2035,8,2276,104
2036,23,2162,201
2037,41,2357,280
2038,27,2125,188
2039,12,2198,115
2040,7,2167,94
2041,28,2564,163
2042,25,2569,157
2043,20,2412,140
2044,33,2437,230
2045,21,2486,164
2046,24,2408,180
