year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,35,-47,-96,129
1988,137,-58,-126,58
1989,57,-154,-260,61
1990,-2,-163,-289,53
1991,58,-116,-183,39
1992,-15,-128,-187,123
1993,-14,-86,-185,82
1994,52,-153,-53,60
1995,111,-149,-185,4
1996,-18,-241,-195,95
1997,29,-84,-186,82
1998,6,-80,-126,121
1999,35,-80,-92,137
2000,21,-104,-111,191
2001,137,-188,11,89
2002,53,-167,-169,143
2003,-15,-188,-267,91
2004,65,-186,-183,144
2005,45,-101,-204,41
2006,104,-186,-197,108
2007,44,-153,-134,50
2008,104,-159,-192,97
2009,10,-115,-278,126
2010,57,-188,-201,128
2011,10,-229,-108,91
2012,-41,-25,-202,164
2013,78,-85,-209,113
2014,40,-99,-101,99
2015,20,-189,-162,72
2016,109,26,-237,33
