year,F1,F3,M4
,label F1,label F3,label M4
1987,37,118,3
1988,54,132,2
1989,42,136,0
1990,41,127,4
1991,41,119,3
1992,47,131,3
1993,51,133,2
1994,28,115,2
1995,51,128,2
1996,33,133,2
1997,47,125,2
1998,60,132,1
1999,41,125,3
2000,30,130,3
2001,49,132,4
2002,63,131,3
2003,43,123,2
2004,52,132,1
2005,34,130,0
2006,59,137,3
2007,52,140,4
2008,63,127,4
2009,37,132,5
2010,73,130,2
2011,42,113,2
2012,65,127,2
2013,58,136,3
2014,52,131,2
2015,33,131,3
2016,51,117,0
2016
2017,56,124,3
2018,37,136,3
2019,49,127,3
2020,39,115,6
2021,51,116,2
2022,32,123,5
2023,43,123,6
2024,40,113,3
2025,40,125,3
2026,28,116,2
2027,54,114,2
2028,61,128,4
2029,40,120,1
2030,36,126,4
2031,56,127,4
2032,41,125,4
2033,32,120,5
2034,34,131,3
2035,43,119,6
2036,30,115,3
2037,38,127,6
2038,41,113,3
2039,43,118,2
2040,32,117,3
2041,52,134,4
2042,38,134,1
2043,42,121,3
2044,42,134,4
2045,48,122,5
2046,52,123,5

min,,80,0
max,,170,10
steps,,10,11
decimal
