year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,28,-111,-128,176
1988,201,-98,-143,48
1989,27,-197,-259,70
1990,21,-230,-341,122
1991,72,-155,-306,65
1992,-28,-203,-176,215
1993,-20,-43,-188,135
1994,105,-136,-117,121
1995,238,-205,-219,62
1996,86,-250,-268,160
1997,47,-75,-177,118
1998,46,-31,-181,143
1999,70,-81,-58,210
2000,43,-122,-136,282
2001,184,-155,-80,104
2002,81,-160,-195,233
2003,19,-187,-272,147
2004,102,-217,-201,115
2005,-4,-236,-267,33
2006,101,-201,-190,110
2007,83,-131,-141,62
2008,97,-68,-238,81
2009,10,-106,-299,121
2010,26,-210,-184,111
2011,-12,-273,-136,103
2012,-54,22,-201,192
2013,46,-23,-194,125
2014,70,-117,-122,78
2015,43,-181,-151,13
2016,151,5,-315,23
