year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,2.5,13.3,18.6,8.4
1988,6.9,14.1,17.3,8.8
1989,7.0,14.2,19.1,9.0
1990,8.4,14.2,19.2,8.5
1991,5.1,12.2,19.8,7.3
1992,5.9,14.3,18.6,8.4
1993,6.1,14.4,17.1,7.1
1994,7.5,13.7,19.1,10.5
1995,7.2,13.4,19.2,9.1
1996,5.5,13.7,17.5,7.5
1997,6.3,13.6,19.6,9.4
1998,7.0,14.2,18.4,7.8
1999,6.9,14.6,19.6,8.6
2000,6.6,14.8,18.4,10.0
2001,7.2,14.2,18.1,8.5
2002,8.0,14.1,17.9,10.1
2003,6.1,15.8,20.8,8.3
2004,6.1,14.3,19.1,8.3
2005,5.9,15.1,19.3,8.9
2006,4.9,14.9,20.6,10.1
2007,8.2,15.9,17.2,7.9
2008,7.4,14.4,17.9,8.0
2009,5.0,15.0,19.4,9.5
2010,4.7,14.4,19.0,7.2
2011,7.2,16.2,18.8,11.2
2012,6.3,14.2,18.5,9.6
2013,4.9,13.0,19.5,9.5
2014,8.3,14.5,18.8,10.5
2015,6.1,15.2,19.0,11.0
2016,7.0,13.7,20.0,8.3
