year,A1,A2,A3
,label A1,label A2,label A3
1987,32,2016,176
1988,25,2418,169
1989,18,2671,156
1990,21,2274,123
1991,6,2282,92
1992,26,2230,181
1993,22,2658,186
1994,24,2216,191
1995,21,2235,159
1996,24,2317,199
1997,21,2233,157
1998,20,2553,150
1999,26,2375,222
2000,23,2509,195
2001,27,2189,193
2002,30,2138,185
2003,18,2344,141
2004,26,2364,148
2005,27,2240,157
2006,12,2394,93
2007,36,2376,248
2008,22,2525,172
2009,24,2534,155
2010,15,2218,145
2011,34,2454,209
2012,18,2319,149
2013,29,2233,183
2014,15,2294,121
2015,10,2210,93
2016,34,2321,234
2016
2017,26,2152,207
2018,38,1993,238
2019,54,2065,337
2020,46,1838,317
2021,31,2042,304
2022,37,2095,250
2023,34,2199,287
2024,36,2260,300
2025,60,2087,346
2026,21,2064,196
2027,44,2193,344
2028,51,2193,350
2029,38,2121,292
2030,39,2131,298
2031,49,2165,308
2032,50,2054,342
2033,26,2144,199
2034,49,2002,334
2035,37,2141,253
2036,58,2331,373
2037,66,2150,377
2038,60,1902,398
2039,28,2254,207
2040,29,2097,228
2041,34,2175,228
2042,23,2013,199
2043,45,2001,289
2044,42,2310,289
2045,46,2093,278
2046,29,2062,206

min,,1600
max,,3200
steps,,9
decimal
