year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,636,633,-223,-376,70,12.6,4592,54,18.9,19
1988,536,631,-316,-340,35,11.4,4177,53,17.9,47
1989,538,634,-312,-401,17,10.9,3992,54,18.7,59
1990,646,594,-176,-317,57,11.5,4221,39,17.8,34
1991,577,741,-450,-508,69,11.6,4256,26,17.9,31
1992,539,612,-302,-397,28,12.0,4415,47,19.1,42
1993,642,751,-436,-449,-34,10.7,3983,45,18.4,71
1994,591,772,-490,-517,-34,12.1,4445,55,18.7,37
1995,619,628,-225,-337,63,11.9,4392,51,18.7,39
1996,630,776,-476,-432,-15,11.9,4359,53,19.2,46
1997,568,707,-417,-386,-2,11.7,4262,48,18.2,40
1998,542,627,-311,-346,12,11.0,4085,45,18.0,64
1999,720,787,-391,-440,49,11.7,4275,61,18.8,35
2000,580,765,-461,-512,30,11.4,4175,51,18.8,54
2001,617,643,-252,-366,93,12.3,4520,50,19.4,40
2002,591,633,-277,-403,71,12.1,4427,47,18.2,30
2003,537,635,-316,-391,21,11.6,4241,43,18.2,37
2004,472,650,-402,-453,3,11.5,4205,38,18.7,45
2005,617,629,-235,-298,29,11.8,4307,38,18.6,29
2006,735,590,-86,-233,141,11.0,4046,27,17.0,41
2007,556,655,-307,-413,95,11.9,4363,67,19.9,40
2008,689,661,-182,-319,13,11.2,4113,54,19.1,52
2009,689,619,-129,-291,89,11.1,4061,47,17.5,33
2010,851,655,-39,-275,215,12.0,4430,53,18.8,39
2011,611,641,-258,-357,31,11.5,4249,52,19.5,41
2012,829,641,-32,-242,116,11.8,4314,42,18.6,27
2013,539,672,-357,-476,85,12.1,4428,50,19.1,31
2014,608,634,-265,-354,73,11.7,4288,35,18.4,44
2015,604,648,-252,-375,72,11.8,4299,36,17.8,38
2016,668,674,-237,-428,61,11.9,4372,65,19.0,48
2016
2017,599,655,-274,-348,72,12.4,4513,57,18.7,31
2018,538,676,-363,-541,85,12.9,4723,63,19.4,15
2019,475,709,-465,-536,27,13.1,4801,77,20.3,27
2020,605,695,-334,-462,86,13.5,4924,67,20.6,18
2021,477,833,-647,-649,8,12.9,4730,72,20.2,27
2022,574,664,-310,-503,105,12.8,4666,71,19.8,26
2023,500,814,-610,-570,-6,12.4,4537,71,19.6,41
2024,501,786,-582,-566,-5,12.2,4474,72,18.7,41
2025,541,693,-358,-472,41,13.1,4801,88,20.8,27
2026,550,788,-537,-545,12,12.5,4567,54,18.3,31
2027,675,788,-379,-498,114,12.6,4619,79,20.3,26
2028,416,666,-476,-507,20,12.6,4621,80,21.2,27
2029,581,793,-551,-559,18,12.8,4683,73,20.0,32
2030,490,781,-600,-651,-2,12.4,4546,73,20.2,30
2031,565,647,-282,-413,42,12.5,4562,70,20.2,21
2032,692,692,-220,-409,103,13.1,4798,81,20.0,32
2033,696,671,-202,-395,162,12.4,4531,71,19.1,31
2034,473,727,-492,-538,7,13.2,4831,90,20.5,27
2035,611,670,-289,-537,193,12.6,4607,83,19.5,25
2036,568,708,-350,-439,72,12.4,4555,90,21.0,40
2037,670,714,-267,-430,112,13.0,4744,96,21.0,36
2038,483,712,-450,-610,73,13.7,5000,88,20.4,18
2039,468,667,-419,-487,17,12.0,4370,59,19.6,40
2040,543,655,-339,-413,38,12.4,4537,67,19.8,35
2041,557,664,-341,-493,93,12.5,4557,65,19.2,30
2042,537,655,-338,-407,37,12.7,4626,57,19.1,28
2043,561,704,-367,-515,30,13.2,4804,80,19.4,31
2044,589,681,-298,-476,141,12.2,4463,71,20.1,41
2045,684,697,-227,-451,133,12.8,4667,69,20.3,23
2046,639,627,-227,-380,60,12.6,4589,65,19.3,23
