year,annual-frozen-days
1987,59
1988,28
1989,38
1990,28
1991,52
1992,33
1993,45
1994,16
1995,35
1996,49
1997,33
1998,37
1999,28
2000,21
2001,37
2002,18
2003,41
2004,38
2005,49
2006,39
2007,22
2008,30
2009,35
2010,52
2011,15
2012,33
2013,37
2014,7
2015,28
2016,26
