year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,106,166,172,246
1988,295,170,153,113
1989,120,140,124,182
1990,147,93,73,208
1991,165,135,90,132
1992,66,124,160,293
1993,83,243,144,220
1994,205,166,208,211
1995,342,80,146,155
1996,189,71,115,245
1997,148,234,175,215
1998,159,264,169,213
1999,171,206,283,296
2000,138,169,182,372
2001,279,161,236,192
2002,193,141,126,319
2003,137,147,120,219
2004,203,109,146,192
2005,95,87,91,130
2006,189,114,184,196
2007,182,166,161,146
2008,198,208,96,159
2009,113,198,71,216
2010,133,101,162,192
2011,91,90,186,196
2012,57,310,142,274
2013,131,235,148,211
2014,186,185,200,167
2015,133,154,208,101
2016,250,261,55,106
