year,annual-precipitations
1987,698
1988,828
1989,746
1990,805
1991,637
1992,628
1993,720
1994,661
1995,651
1996,504
1997,769
1998,746
1999,615
2000,598
2001,795
2002,538
2003,684
2004,710
2005,515
2006,557
2007,692
2008,901
2009,743
2010,828
2011,596
2012,950
2013,659
2014,858
2015,610
2016,732

min,300
max,1100
steps,9
decimal
