year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-8.8,9.5,13.4,0.8
1988,-2.6,11.7,15.7,-1.0
1989,1.4,11.6,15.0,0.8
1990,0.8,10.9,13.7,1.9
1991,-2.0,9.7,15.4,2.6
1992,0.5,10.3,16.1,1.7
1993,-2.1,11.7,13.7,-0.2
1994,-5.5,10.2,16.0,1.0
1995,-0.4,11.5,15.0,0.4
1996,-7.3,10.5,14.3,1.9
1997,-1.7,9.5,16.2,0.8
1998,-1.4,11.5,14.2,-0.8
1999,-2.8,12.3,16.2,2.3
2000,-1.0,12.1,14.3,4.8
2001,-2.6,11.4,16.9,0.4
2002,0.2,12.3,16.8,-2.2
2003,-4.1,10.3,16.4,2.6
2004,-3.7,10.2,15.9,2.0
2005,-4.9,10.6,16.1,2.1
2006,-6.5,11.2,17.1,5.1
2007,-2.1,11.5,15.7,2.9
2008,0.4,11.0,14.7,3.5
2009,-2.4,11.1,15.8,1.3
2010,-6.7,11.8,17.7,-0.4
2011,-4.6,12.3,17.3,4.6
2012,-4.4,10.5,15.9,1.3
2013,-5.3,12.4,16.0,4.5
2014,-1.2,11.2,16.7,2.2
2015,0.5,10.4,16.0,2.6
2016,-2.5,12.3,16.1,1.4
