year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,93,175,334,96
1988,112,167,380,169
1989,151,149,180,265
1990,233,89,291,192
1991,124,197,162,154
1992,175,152,157,144
1993,169,111,236,203
1994,121,186,185,169
1995,225,211,109,106
1996,81,118,96,210
1997,139,275,118,238
1998,117,253,226,149
1999,155,131,102,228
2000,163,109,213,114
2001,130,239,228,198
2002,177,140,63,159
2003,112,176,227,170
2004,136,154,237,183
2005,99,164,168,84
2006,63,112,145,237
2007,160,165,170,197
2008,179,169,314,239
2009,108,132,242,260
2010,99,173,333,223
2011,106,107,209,174
2012,132,284,269,264
2013,97,178,216,168
2014,148,263,260,187
2015,149,171,163,127
2016,175,193,200,163
