year,A1,A2,A3
,label A1,label A2,label A3
1987,3,4892,28
1988,4,4911,25
1989,5,5051,43
1990,7,5017,46
1991,9,4706,76
1992,8,4686,61
1993,1,4662,12
1994,4,4513,55
1995,2,4881,24
1996,2,4566,55
1997,0,4918,16
1998,2,4572,25
1999,5,4827,78
2000,4,4370,48
2001,6,4328,59
2002,6,4829,39
2003,1,5053,17
2004,2,4489,30
2005,2,4547,37
2006,6,4426,57
2007,6,4135,58
2008,9,4619,68
2009,9,4904,70
2010,8,4862,80
2011,2,4566,34
2012,9,4772,64
2013,0,4853,13
2014,2,4489,29
2015,9,4765,72
2016,3,4789,32
2016
2017,6,3938,49
2018,4,4086,48
2019,5,4424,66
2020,15,4020,110
2021,20,4477,182
2022,3,4190,43
2023,7,4156,81
2024,2,4632,33
2025,4,4009,30
2026,7,4225,65
2027,12,4271,110
2028,1,4322,22
2029,6,4033,69
2030,2,4278,28
2031,18,4201,122
2032,4,4131,51
2033,1,4564,20
2034,7,4334,72
2035,3,4381,52
2036,5,4476,59
2037,11,4296,107
2038,4,4009,28
2039,11,4513,80
2040,10,4329,84
2041,0,4376,15
2042,9,4336,92
2043,5,4334,53
2044,7,3974,59
2045,10,4233,68
2046,5,4131,76

min,,2400
max,,5100
steps,,10
decimal
