year,annual-precipitations
1987,314
1988,407
1989,365
1990,413
1991,970
1992,761
1993,601
1994,673
1995,621
1996,749
1997,557
1998,773
1999,587
2000,777
2001,531
2002,591
2003,618
2004,626
2005,609
2006,565
2007,738
2008,813
2009,592
2010,565
2011,683
2012,857
2013,640
2014,598
2015,621
2016,722

min,200
max,1100
steps,10
decimal
