year,F1,F3,M4
,label F1,label F3,label M4
1987,130,178,2
1988,127,169,1
1989,130,179,3
1990,127,177,1
1991,118,163,1
1992,129,170,2
1993,130,169,1
1994,118,167,3
1995,127,175,1
1996,124,176,5
1997,142,181,2
1998,126,170,1
1999,125,172,3
2000,118,170,3
2001,120,161,2
2002,126,166,1
2003,139,178,1
2004,119,163,1
2005,135,181,2
2006,114,173,2
2007,9,160,2
2008,123,171,1
2009,118,160,3
2010,125,168,2
2011,134,170,3
2012,128,167,1
2013,130,168,2
2014,125,172,2
2015,129,172,0
2016,122,173,1
2016
2017,102,151,2
2018,105,155,4
2019,127,164,2
2020,112,166,2
2021,134,173,3
2022,120,162,2
2023,119,166,4
2024,119,165,1
2025,101,158,4
2026,106,164,4
2027,119,161,2
2028,115,162,3
2029,119,170,0
2030,124,169,4
2031,122,164,3
2032,114,159,4
2033,120,168,1
2034,115,159,2
2035,118,163,3
2036,120,163,2
2037,110,158,2
2038,107,162,1
2039,126,170,1
2040,115,165,1
2041,121,162,3
2042,126,164,1
2043,124,166,1
2044,109,165,2
2045,122,166,2
2046,106,158,2

min,,19-May
max,,18-Jul
steps,,4
decimal
