year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,93,259,285,95
1988,205,241,198,151
1989,81,133,252,80
1990,129,211,168,203
1991,96,224,132,125
1992,120,137,192,250
1993,52,244,256,174
1994,160,270,219,129
1995,388,456,238,234
1996,99,248,370,259
1997,108,280,320,232
1998,156,166,270,279
1999,212,443,347,278
2000,223,164,397,163
2001,399,347,431,239
2002,207,278,306,329
2003,115,145,189,200
2004,247,348,263,245
2005,133,304,366,167
2006,246,384,337,161
2007,222,254,509,169
2008,192,345,405,252
2009,222,295,275,287
2010,125,301,346,233
2011,90,194,389,235
2012,119,368,375,378
2013,181,377,256,271
2014,138,353,371,215
2015,206,451,144,118
2016,337,465,248,205
