year,A1,A2,A3
,label A1,label A2,label A3
1987,15,3258,120
1988,7,3130,57
1989,11,3335,98
1990,15,2717,106
1991,13,3121,109
1992,12,3479,63
1993,0,3350,27
1994,8,3218,72
1995,7,3297,58
1996,5,3492,49
1997,7,3319,77
1998,14,3594,84
1999,5,3308,75
2000,6,3262,53
2001,14,3526,92
2002,1,3461,35
2003,4,2997,59
2004,8,3366,63
2005,2,3297,23
2006,16,3368,102
2007,16,3041,111
2008,1,3350,26
2009,22,3598,150
2010,5,3073,37
2011,8,3258,64
2012,10,3585,63
2013,10,3221,96
2014,3,3094,40
2015,12,3402,102
2016,11,3091,97
2016
2017,22,2862,142
2018,22,2955,152
2019,18,2927,116
2020,44,2942,282
2021,8,3141,78
2022,15,2697,99
2023,22,3148,205
2024,7,2881,64
2025,42,2941,259
2026,21,2964,151
2027,32,2934,239
2028,25,2868,183
2029,27,2905,236
2030,32,2972,228
2031,13,3181,95
2032,44,3200,258
2033,16,3053,108
2034,31,2967,210
2035,26,2881,167
2036,17,3061,116
2037,37,2762,246
2038,30,3089,185
2039,17,3083,110
2040,35,2933,242
2041,5,3002,48
2042,16,3021,114
2043,23,3152,159
2044,10,3022,77
2045,30,2780,204
2046,31,2867,215
