year,annual-precipitations
1987,733
1988,794
1989,546
1990,711
1991,577
1992,699
1993,726
1994,778
1995,1316
1996,976
1997,940
1998,871
1999,1280
2000,947
2001,1416
2002,1120
2003,648
2004,1103
2005,970
2006,1128
2007,1153
2008,1193
2009,1080
2010,1006
2011,908
2012,1240
2013,1086
2014,1077
2015,919
2016,1254
