year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,34,18,14,38
1988,138,-31,-81,96
1989,2,-140,-16,21
1990,27,-83,-158,128
1991,16,-48,-192,55
1992,42,-163,-111,192
1993,-31,-64,-17,109
1994,68,-3,-88,62
1995,298,198,-54,175
1996,29,-34,102,199
1997,20,-3,34,163
1998,62,-122,1,219
1999,141,197,78,218
2000,150,-123,134,96
2001,323,82,153,171
2002,111,-11,51,263
2003,22,-179,-162,139
2004,167,64,-31,188
2005,57,2,91,110
2006,180,86,21,87
2007,125,-77,236,102
2008,97,53,123,191
2009,156,-9,-30,221
2010,41,31,60,172
2011,4,-132,92,170
2012,30,84,91,325
2013,122,131,-65,213
2014,48,51,119,153
2015,126,159,-197,50
2016,249,203,-57,150
