year,A1,A2,A3
,label A1,label A2,label A3
1987,101,2017,662
1988,99,2377,723
1989,74,2289,508
1990,105,2273,695
1991,112,2161,794
1992,116,2336,710
1993,96,1922,720
1994,77,2070,579
1995,81,1953,512
1996,70,1992,523
1997,97,2067,710
1998,84,1951,547
1999,79,2287,550
2000,85,2453,597
2001,89,2100,565
2002,104,2329,680
2003,101,2186,696
2004,73,2245,457
2005,98,2408,560
2006,77,2008,459
2007,92,2327,668
2008,91,1961,608
2009,88,2525,614
2010,104,2260,636
2011,91,2428,633
2012,97,2409,641
2013,80,2277,505
2014,96,2308,612
2015,94,2015,576
2016,106,2180,680
2016
2017,99,2044,605
2018,106,2050,702
2019,101,1951,627
2020,105,1794,683
2021,95,2058,726
2022,111,1784,653
2023,74,2133,574
2024,83,2300,624
2025,120,2111,844
2026,94,2174,730
2027,83,1792,623
2028,129,2138,781
2029,111,1870,846
2030,69,1774,531
2031,105,1892,603
2032,100,1828,759
2033,97,2069,605
2034,87,2050,507
2035,127,2057,786
2036,75,1884,484
2037,106,2051,654
2038,99,2101,713
2039,91,1904,645
2040,119,1936,858
2041,117,1863,733
2042,114,1968,725
2043,107,2137,700
2044,94,2269,615
2045,102,1868,689
2046,96,2259,665
