year,annual-frozen-days
1987,69
1988,55
1989,57
1990,47
1991,65
1992,64
1993,78
1994,40
1995,54
1996,60
1997,60
1998,83
1999,74
2000,72
2001,71
2002,61
2003,102
2004,84
2005,79
2006,74
2007,81
2008,64
2009,61
2010,63
2011,99
2012,90
2013,61
2014,18
2015,39
2016,53
