year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,2.8,16.2,22.9,8.5
1988,5.3,16.5,23.3,6.9
1989,6.0,17.1,21.8,7.9
1990,6.1,16.9,22.0,10.4
1991,3.8,16.0,22.2,8.0
1992,4.4,16.4,22.2,9.2
1993,3.3,16.6,22.1,9.3
1994,6.0,18.0,24.4,8.9
1995,5.7,17.4,22.2,7.7
1996,2.0,17.6,21.9,9.5
1997,4.6,16.7,21.0,8.6
1998,3.9,17.6,22.3,6.7
1999,4.6,17.4,22.4,9.0
2000,4.0,17.6,22.9,9.7
2001,7.4,16.9,23.9,6.5
2002,5.3,16.1,21.8,8.5
2003,1.7,16.7,21.6,7.8
2004,4.0,15.9,20.8,9.7
2005,4.0,16.0,21.3,7.8
2006,3.1,16.6,21.5,8.4
2007,6.5,17.3,22.4,7.6
2008,4.6,17.1,21.7,9.6
2009,4.2,16.8,21.7,9.7
2010,4.0,17.2,22.8,9.8
2011,3.5,15.3,22.8,6.9
2012,2.5,17.9,23.4,9.6
2013,5.4,17.7,22.4,8.0
2014,8.1,17.9,23.3,9.6
2015,6.1,18.2,24.9,10.9
2016,7.6,19.0,24.3,8.6
