year,annual-estival-days
1987,109
1988,114
1989,97
1990,111
1991,109
1992,117
1993,115
1994,132
1995,121
1996,117
1997,112
1998,116
1999,123
2000,127
2001,131
2002,111
2003,137
2004,107
2005,102
2006,110
2007,133
2008,123
2009,137
2010,121
2011,126
2012,148
2013,144
2014,114
2015,134
2016,131
