year,annual-precipitations
1987,532
1988,443
1989,498
1990,375
1991,448
1992,305
1993,436
1994,609
1995,613
1996,741
1997,608
1998,480
1999,584
2000,263
2001,518
2002,669
2003,410
2004,492
2005,856
2006,426
2007,585
2008,399
2009,724
2010,643
2011,546
2012,591
2013,515
2014,1035
2015,697
2016,621
