year,annual-hydric-deficit
1987,106
1988,190
1989,-156
1990,-169
1991,-253
1992,-201
1993,-300
1994,-125
1995,-2
1996,-120
1997,-8
1998,-181
1999,33
2000,-58
2001,-90
2002,30
2003,-430
2004,-218
2005,-168
2006,52
2007,-140
2008,-95
2009,-172
2010,12
2011,-293
2012,-190
2013,175
2014,-133
2015,-336
2016,-3
