year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,75,20,-90,101
1988,261,-149,-81,159
1989,21,-111,-207,141
1990,7,-139,-135,98
1991,-17,-181,-110,54
1992,37,-171,-219,153
1993,-69,-194,-126,88
1994,47,-95,-132,55
1995,142,-58,-169,83
1996,-27,-106,-143,156
1997,94,-79,-151,128
1998,-39,-72,-150,80
1999,91,-107,-96,144
2000,28,-101,-62,77
2001,94,-133,-132,80
2002,-6,-90,-30,156
2003,-30,-186,-273,60
2004,23,-212,-134,106
2005,36,-149,-112,57
2006,83,-151,-20,140
2007,110,-181,-108,39
2008,73,-113,-133,79
2009,53,-189,-146,111
2010,-10,-82,-49,154
2011,-37,-223,-77,44
2012,-38,-151,-138,136
2013,19,42,-73,187
2014,-28,-210,20,86
2015,38,-175,-253,54
2016,135,13,-207,57
