year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,156,278,201,175
1988,347,149,220,219
1989,112,197,110,214
1990,119,152,175,178
1991,71,101,226,120
1992,126,152,104,228
1993,37,133,185,166
1994,136,188,164,125
1995,242,208,130,142
1996,51,175,147,225
1997,189,224,163,204
1998,68,234,144,148
1999,169,174,205,210
2000,113,206,216,157
2001,183,173,185,153
2002,99,225,249,228
2003,71,167,111,133
2004,128,130,209,171
2005,120,166,194,125
2006,157,165,316,218
2007,220,195,201,128
2008,196,225,188,155
2009,132,140,177,191
2010,81,220,256,225
2011,62,132,229,123
2012,69,166,189,210
2013,93,309,230,235
2014,79,104,332,161
2015,142,154,112,141
2016,232,284,109,119
