year,A1,A2,A3
,label A1,label A2,label A3
1987,8,2954,118
1988,46,2593,292
1989,25,2655,187
1990,61,2633,372
1991,29,2982,219
1992,14,2732,96
1993,14,3216,153
1994,37,3137,272
1995,37,2748,234
1996,35,2711,314
1997,17,2857,169
1998,37,2777,239
1999,33,2934,248
2000,46,2877,275
2001,40,2994,250
2002,20,3006,152
2003,20,3054,155
2004,24,2331,176
2005,39,2427,252
2006,30,2668,204
2007,11,2656,108
2008,45,2605,304
2009,22,2573,152
2010,43,2681,270
2011,30,2722,203
2012,30,2914,180
2013,4,2476,54
2014,16,2904,158
2015,19,2984,157
2016,44,2536,289
2016
2017,48,2567,325
2018,34,2502,252
2019,44,2697,284
2020,50,2358,311
2021,70,2485,434
2022,29,2803,168
2023,51,2439,400
2024,48,2456,355
2025,60,2199,402
2026,45,2561,353
2027,47,2392,346
2028,52,2299,332
2029,34,2274,282
2030,51,2519,353
2031,39,2271,217
2032,74,2565,571
2033,63,2653,404
2034,33,2500,259
2035,65,2309,390
2036,25,2372,200
2037,69,2430,417
2038,49,2365,370
2039,44,2311,294
2040,34,2389,263
2041,66,2619,417
2042,47,2619,324
2043,52,2459,319
2044,34,2879,245
2045,47,2531,308
2046,42,2382,293
