year,annual-precipitations
1987,810
1988,935
1989,632
1990,624
1991,518
1992,610
1993,520
1994,612
1995,721
1996,597
1997,780
1998,594
1999,758
2000,692
2001,693
2002,801
2003,481
2004,638
2005,606
2006,855
2007,745
2008,764
2009,639
2010,782
2011,546
2012,635
2013,867
2014,676
2015,549
2016,744

min,300
max,2000
steps,10
decimal
