year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.5,13.2,18.9,6.9
1988,5.2,14.7,18.3,6.9
1989,5.7,14.2,19.0,6.4
1990,6.5,14.0,17.9,6.7
1991,3.6,12.5,20.0,5.6
1992,4.5,15.0,19.7,6.6
1993,4.5,16.2,18.1,6.2
1994,5.3,14.5,19.6,8.2
1995,5.1,13.9,18.7,6.7
1996,1.8,14.0,16.9,5.9
1997,4.3,14.0,19.2,6.6
1998,5.5,15.3,18.0,5.8
1999,4.7,15.1,19.9,6.4
2000,5.6,15.9,18.3,8.7
2001,5.7,14.4,18.6,7.0
2002,5.5,15.2,18.2,8.2
2003,3.7,16.8,20.7,6.4
2004,4.1,14.8,19.4,6.8
2005,3.8,15.6,18.9,7.0
2006,2.1,15.2,20.5,9.4
2007,7.1,17.3,17.9,6.2
2008,6.0,15.9,18.4,6.8
2009,2.4,16.0,19.4,7.6
2010,3.0,14.4,18.5,5.3
2011,5.1,16.6,18.8,7.6
2012,4.2,15.3,19.0,7.3
2013,2.4,13.8,19.3,7.7
2014,6.9,15.7,19.3,8.9
2015,4.4,14.9,19.9,9.0
2016,5.1,14.3,20.0,6.0
