year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,45,-73,-190,10
1988,39,-210,-116,7
1989,-26,-160,-202,-28
1990,-61,-259,-289,21
1991,-63,-259,-268,35
1992,-58,-300,-316,60
1993,-51,-328,-355,82
1994,-62,-258,-283,17
1995,39,-47,-197,53
1996,5,-84,-60,3
1997,-25,-163,-161,34
1998,-79,-199,-93,63
1999,-10,-123,-135,86
2000,9,-350,-221,47
2001,33,-273,-109,-18
2002,-53,-221,-134,104
2003,-47,-294,-323,6
2004,37,-120,-193,36
2005,-11,-204,-125,94
2006,49,-132,-235,-41
2007,19,-286,-196,39
2008,-20,-211,-125,10
2009,72,-266,-242,80
2010,-1,99,-74,74
2011,-53,-272,-242,-32
2012,-61,-276,-294,44
2013,176,-186,-253,30
2014,-34,-255,-28,36
2015,20,-240,-234,41
2016,93,-131,-108,34
