year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,472,777,-503,-518,21,10.3,3906,69,18.5,97
1988,380,742,-560,-524,-13,9.9,3773,58,19.2,95
1989,378,746,-586,-519,-19,9.9,3811,69,18.6,102
1990,329,771,-642,-587,-48,9.5,3784,81,19.3,114
1991,420,855,-704,-610,-17,11.7,4363,85,21.4,69
1992,347,789,-664,-639,14,11.6,4289,77,19.6,66
1993,323,887,-831,-732,-36,11.2,4213,78,19.8,93
1994,450,804,-597,-547,-6,10.4,4013,62,19.3,89
1995,431,773,-537,-571,47,10.5,3979,87,19.7,98
1996,510,829,-564,-480,-19,10.2,3867,70,19.3,79
1997,569,817,-479,-503,27,9.2,3651,54,18.2,107
1998,333,773,-635,-575,-2,10.0,3874,86,20.2,111
1999,299,882,-860,-765,-48,11.2,4270,79,19.4,77
2000,304,829,-795,-681,-44,10.3,3959,48,17.5,86
2001,321,752,-635,-537,-47,10.5,3960,79,19.3,98
2002,464,751,-502,-467,16,10.3,4003,81,19.4,87
2003,406,785,-567,-518,-20,9.8,3778,84,18.4,118
2004,362,813,-648,-661,19,10.3,3880,71,17.9,97
2005,487,730,-445,-422,8,9.5,3678,58,18.2,104
2006,411,790,-602,-556,10,11.0,4236,79,20.1,86
2007,423,762,-543,-515,7,10.2,3915,72,18.8,103
2008,512,746,-456,-427,-22,11.3,4204,70,19.6,71
2009,389,820,-658,-613,9,11.3,4282,76,20.2,88
2010,467,668,-413,-367,-28,10.1,3755,43,17.8,75
2011,495,743,-465,-447,32,11.2,4267,56,17.1,50
2012,510,761,-458,-388,-23,10.7,4034,74,19.1,83
2013,417,750,-539,-531,-28,9.5,3665,63,18.8,118
2014,355,838,-710,-621,-68,11.9,4534,107,21.0,82
2015,318,695,-586,-527,-31,10.4,3862,26,17.3,64
2016,345,776,-648,-545,-61,11.6,4265,76,19.4,62
2016
2017,399,780,-594,-578,5,11.4,4295,82,20.7,88
2018,360,786,-649,-622,16,11.6,4317,81,19.8,63
2019,439,751,-530,-489,-7,11.3,4138,63,18.8,64
2020,584,780,-406,-407,27,11.7,4393,96,20.6,69
2021,544,865,-596,-592,5,11.5,4272,80,19.6,73
2022,421,793,-603,-547,-26,12.0,4504,83,21.3,73
2023,396,799,-678,-598,-35,9.9,3712,58,18.5,93
2024,381,866,-761,-653,-27,11.3,4255,89,20.5,84
2025,412,777,-598,-563,21,12.5,4659,96,20.9,66
2026,546,880,-591,-590,-6,11.9,4452,81,19.6,70
2027,379,907,-785,-716,-14,11.6,4382,95,21.0,87
2028,327,809,-705,-639,-17,11.9,4374,89,20.9,70
2029,454,848,-672,-658,-9,11.1,4103,65,19.7,68
2030,374,884,-786,-695,-3,12.4,4568,90,21.6,53
2031,405,789,-572,-593,34,11.5,4269,96,20.9,90
2032,485,819,-567,-576,70,12.7,4673,100,21.8,56
2033,406,781,-604,-539,-34,12.1,4434,79,19.3,57
2034,395,836,-642,-675,72,11.0,4137,105,21.7,110
2035,336,861,-734,-722,9,12.1,4528,115,21.2,81
2036,404,825,-627,-635,36,11.5,4309,101,21.3,93
2037,398,814,-633,-619,0,12.0,4428,96,21.8,74
2038,541,753,-436,-501,72,11.3,4159,79,20.9,52
2039,537,805,-474,-521,80,11.7,4352,87,20.7,71
2040,423,821,-607,-565,-3,11.2,4260,98,21.5,88
2041,518,763,-441,-398,-17,11.2,4132,69,19.6,74
2042,397,764,-581,-533,-33,11.2,4168,84,20.3,77
2043,382,870,-704,-670,5,12.4,4614,111,21.7,77
2044,518,755,-445,-436,-2,10.6,4009,73,19.3,85
2045,424,767,-567,-559,16,11.8,4370,73,20.2,57
2046,455,788,-558,-501,-28,12.1,4495,87,20.4,67
