year,annual-average-temperature
1987,9.6
1988,10.5
1989,11.1
1990,11.1
1991,10.0
1992,11.2
1993,10.4
1994,11.8
1995,10.8
1996,9.6
1997,10.3
1998,11.0
1999,11.0
2000,12.0
2001,10.8
2002,11.6
2003,11.1
2004,10.5
2005,10.4
2006,11.0
2007,11.9
2008,11.9
2009,11.5
2010,10.4
2011,11.2
2012,11.8
2013,11.3
2014,12.5
2015,12.1
2016,11.5

min,6
max,14
steps,9
decimal
