year,annual-hydric-deficit
1987,-208
1988,-280
1989,-416
1990,-588
1991,-556
1992,-615
1993,-652
1994,-586
1995,-152
1996,-136
1997,-315
1998,-309
1999,-181
2000,-514
2001,-366
2002,-305
2003,-658
2004,-239
2005,-245
2006,-359
2007,-424
2008,-346
2009,-355
2010,97
2011,-599
2012,-587
2013,-233
2014,-281
2015,-413
2016,-113
